;avVillage;Sc1900;Sc1960;Sc1980a;Sc1980b;ScTrad;ScTran;ScFat;ScTran1;ScTran2;ScTran3;ScTran4;ScTran5;ScTran6;ScTran7;ScTran8;ScTran9;ScTran10;1;2;3;4;5;6;7;8;9;10
initial shape;avVillage;Sc1900;Sc1960;Sc1980a;Sc1980b;ScTrad;ScTran;ScFat;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran
init_household;avVillage;Sc1900;Sc1960;Sc1980;Sc1980;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010
init_household_nb_types;avVillage;Sc1900;Sc1960;Sc1980a;Sc1980b;ScTrad;ScTran;ScFat;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran
init_ruminants;avVillage;Sc1900;Sc1960;Sc1980a;Sc1980b;ScTrad;ScTran;ScFat;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran;ScTran
init_draught;avVillage;Sc1900;Sc1960;Sc1980;Sc1980;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010;Sc2010
nb households;80;30;60;80;90;100;105;110;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105
rain;550;660;665;470;470;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600
transhumance;false;false;false;false;false;false;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
ratio_waste_in_home_field;0.6;1;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
coef_yield_millet;1;0.5;0.6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
